#! daedalus 0.1.0
#! core_hash daedalus 0.1.0  core 60a4dce01a4e6fb8  (26 arquivos)
#! implementacao c
#! conteudo varredura_fase2
#! grade 7x7
#! n_traj 63000
#! blocos 16
#! estimador wardle_kronberg
# valor no n cheio; sd e o DESVIO DA MEDIA; vies e o residual estimado
# cov e corr sao entre C_inter e ef NO MESMO conjunto de execucoes
p,gamma,lambda2,Q,N,n_traj,blocos,c_inter,sd_c_inter,vies_c_inter,ef,sd_ef,vies_ef,cov,corr,lambda2_ok,segundos
0.16667,2.94723,0.18786400580360466,0.65033149719238281,520,63000,16,0.051337304282990659,0.00054090130001045115,-0.00099212634201217603,1.8210618537987568e-10,1.5461591458692203e-10,1.7232929428188076e-26,-9.8642543078932986e-16,-0.011794839653950864,1,3645.8
0.25,0.02,0.20415986383553719,0.58002328872680664,520,63000,16,175.75518416695533,0.52953694031351806,-0.027370273137629891,0.00092181627718436725,9.5082573805833915e-06,0,9.4578328173571962e-07,0.18784275186072893,1,3281.0
0.25,0.05429,0.20415986383553719,0.58002328872680664,520,63000,16,52.637528444497114,0.31913201112177747,-0.099498188001646781,0.00088826254270147514,1.2558509610496467e-05,0,-3.7378984025761423e-07,-0.093265070224131677,1,3401.3
0.25,0.14736,0.20415986383553719,0.58002328872680664,520,63000,16,4.8725330103770519,0.052708443528740191,-0.18654803902666264,0.00068054390814169859,1.4955081637019739e-05,0,-9.4971826627320015e-08,-0.12048301063322749,1,3336.4
0.25,0.4,0.20415986383553719,0.58002328872680664,520,63000,16,1.7915120958644006,0.03353090482278058,-0.03898795587177236,0.0003247938089987987,2.0387037453000407e-05,1.807003620809174e-20,6.0648943690603162e-08,0.088720472808036452,1,3373.6
0.25,1.08577,0.20415986383553719,0.58002328872680664,520,63000,16,0.39328444710710497,0.0067315576610704605,-0.0046053598677933127,4.6215606099872437e-05,9.2512731853892797e-06,0,3.4726858111144812e-09,0.055763293566713744,1,3437.1
0.25,2.94723,0.20415986383553719,0.58002328872680664,520,63000,16,0.058856883750127119,0.00055669609917690667,-0.0012777410701495934,8.3495827548343007e-07,7.800861150144853e-07,0,-4.4481623372200538e-11,-0.10242828532561959,1,3492.8
0.16667,8,0.18786400580360466,0.65033149719238281,520,63000,16,0.0091370172586699005,0.00010587033627519805,-8.003592056450512e-05,6.2009815229802847e-15,6.1983489284182467e-15,5.2590727014734117e-31,5.5957290767185512e-20,0.085271983722457992,1,3915.0
0.33333,0.02,0.24203880363855362,0.50959873199462891,520,63000,16,173.30342594439435,0.52786314422052494,-0.030290800110681932,0.0011881425911953198,9.8699840961071008e-06,7.2280144832366958e-20,3.1813021319101512e-07,0.061061451439243332,1,3410.9
0.33333,0.05429,0.24203880363855362,0.50959873199462891,520,63000,16,52.110547732862628,0.32165158236223051,-0.10609700266912843,0.0009918542497342434,1.4486554972964399e-05,-7.2280144832366958e-20,1.0136881030665246e-09,0.00021754722029423894,1,3355.5
0.25,8,0.20415986383553719,0.58002328872680664,520,63000,16,0.0093652824702853636,0.00011476397041968132,-0.00011661815234663882,3.0368176986943496e-13,2.841490630007461e-13,-1.6829032644714918e-29,1.4382789232451345e-17,0.44105355114851691,1,4227.8
0.33333,0.14736,0.24203880363855362,0.50959873199462891,520,63000,16,4.6596137224514642,0.063892758488712509,-0.16815558812889839,0.00072536146465192338,2.3617942002175494e-05,-3.6140072416183479e-20,3.2178611596333429e-07,0.2132424243265916,1,3501.9
